address,city,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
215 Smith St.,Sitka,Baranof Island Brewing Co.,AK,MicroBrewery,-135.307776,57.050343,99835,2013,2015,022200001004001,02220000100
212 Smith St.,Sitka,Baranof Island Brewing Co.,AK,MicroBrewery,-135.3079453,57.0498254,99835,2011,2012,022200001004003,02220000100
108 White Fang Way,Haines,Haines Brewing Co.,AK,MicroBrewery,-135.47152384,59.2330687725,99827,2006,2015,021000001003015,02100000100
108 White Fang Way Dalton City,Haines,Haines Brewing Co.,AK,MicroBrewery,-136.070496,59.3680312,99827,2005,2005,021000001001116,02100000100
13605 E. Main St.,Talkeetna,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.114123,62.323379,99676,2011,2015,021700001021027,02170000102
13605 Main St.,Talkeetna,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.113977,62.323298,99676,2009,2010,021700001021027,02170000102
1562 Homer Spit Rd.,Homer,Homer Brewing Co.,AK,MicroBrewery,-151.499675,59.640245,99603,2005,2007,021220010002005,02122001000
1411 Lake Shore Dr.,Homer,Homer Brewing Co.,AK,MicroBrewery,-151.50625,59.639388,99603,2008,2015,021220010002011,02122001000
717 W. 3rd Ave. ,Anchorage,Sleeping Lady Brewery/Snow Goose Restaurant ,AK,BrewPub,-149.896528397,61.2194870326,99501,2006,2015,020200011001010,02020001100
717 West Third Avenue ,Anchorage,Sleeping Lady Brewery/Snow Goose Restaurant ,AK,BrewPub,-149.8958227,61.2196829,99501,2005,2005,020200011001006,02020001100
118 Center Ave.,Northport,Northern Ales,WA,MicroBrewery,-117.777931,48.917611,99157,2008,2010,530659501001117,53065950100
325 W. 3rd Ave.,Kettle Falls,Northern Ales,WA,MicroBrewery,-118.0602814,48.6106622,99141,2011,2015,530659501003004,53065950100
208 W. Pennsylvania Ave.,Roslyn,Roslyn Brewing,WA,MicroBrewery,-120.995644467,47.2219021884,98941,2006,2015,530379751003095,53037975100
208 Pennsylvania Ave.,Roslyn,Roslyn Brewing,WA,MicroBrewery,-120.9948483,47.2219623,98941,2005,2005,530379751003095,53037975100
240 SW First Street,Stevenson,Walking Man Brewing & Public House,WA,BrewPub,-121.8839413,45.692324,98648,2005,2005,530599503001034,53059950300
240 SW First St.,Stevenson,Walking Man Brewing & Public House,WA,BrewPub,-121.885042799,45.6922070648,98648,2006,2015,530599503001033,53059950300
103 35th Ave. SE,Puyallup,Ram Restaurant & Brewery,WA,BrewHouse,-122.292517974,47.1578977912,98374,2011,2015,530530712073011,53053071207
103 35th Ave.,Puyallup,Ram Restaurant & Brewery,WA,BrewPub,-122.292323,47.159888,98374,2005,2010,530530712073008,53053071207
18970 3rd Ave NE,Poulsbo,Valholl Brewing,WA,Brewery,-122.645267,47.735177,98370,2015,2015,530350905013006,53035090501
20186 Front St. NE,Poulsbo,Valholl Brewing,WA,MicroBrewery,-122.6505094,47.7459451,98370,2011,2014,530350905012002,53035090501
625 4th St. ,Mukilteo,Eagle Brewing Company & Riley's Pizza,WA,BrewPub,-122.304058471,47.9452892551,98275,2006,2007,530610413012038,53061041301
625 4th Street ,Mukilteo,Eagle Brewing Company & Riley's Pizza,WA,BrewPub,-122.303842,47.9454733,98275,2005,2005,530610413012038,53061041301
621 Front St. ,Mukilteo,Diamond Knot Brewery & Alehouse ,WA,BrewPub,-122.305021235,47.9485668794,98275,2006,2015,530610413013002,53061041301
621 Front Street ,Mukilteo,Diamond Knot Brewery & Alehouse ,WA,BrewPub,-122.304687,47.94845,98275,2005,2005,530610413013002,53061041301
2234 Main St.,Ferndale,Whatcom Brewery,WA,MicroBrewery,-122.60257267,48.8484230353,98248,2006,2006,530730105012015,53073010501
2234 Main Street,Ferndale,Whatcom Brewery,WA,MicroBrewery,-122.60322,48.848801,98248,2005,2005,530730105012015,53073010501
2238 James St.,Bellingam,Kulshan Brewing,WA,MicroBrewery,-122.464711,48.759613,98225,2013,2013,530730005012003,53073000501
2238 James St.,Bellingham,Kulshan Brewing,WA,MicroBrewery,-122.464711,48.759613,98225,2014,2015,530730005012003,53073000501
320 Commercial Ave.,Anacortes,Anacortes Brewery & Rockfish Grill,WA,BrewPub,-122.61270428,48.5197104035,98221,2006,2015,530579406001022,53057940600
320 Commercial Avenue,Anacortes,Anacortes Brewery & Rockfish Grill,WA,BrewPub,-122.61286,48.5193742,98221,2005,2005,530579406001022,53057940600
1201 1st Ave. S. ,Seattle,"Pyramid Alehouse, Brewery & Restaurant ",WA,BrewPub,-122.334309156,47.5913243716,98134,2006,2015,530330093002048,53033009300
1201 First Avenue South ,Seattle,"Pyramid Alehouse, Brewery & Restaurant ",WA,BrewPub,-122.3348888,47.592012,98134,2005,2005,530330093002048,53033009300
1221 E. Pike St. ,Seattle,Elysian Brewing Company ,WA,BrewPub,-122.316419009,47.6140829596,98122,2006,2015,530330075004008,53033007500
1221 East Pike Street ,Seattle,Elysian Brewing Company ,WA,BrewPub,-122.3159648,47.6139451,98122,2005,2005,530330075004008,53033007500
300 E. Pike St. ,Seattle,Six Arms Pub ,WA,BrewPub,-122.327435898,47.6142579623,98122,2006,2015,530330084003004,53033008400
300 E. Pike Street ,Seattle,Six Arms Pub ,WA,BrewPub,-122.3273066,47.6141055,98122,2005,2005,530330084003004,53033008400
1605 South 93rd Street ,Seattle,Baron Brewing,WA,MicroBrewery,-122.3119343,47.5196011,98108,2005,2005,530330264001029,53033026400
1605 S. 93rd St. ,Seattle,Baron Brewing,WA,MicroBrewery,-122.31218071,47.5186929471,98108,2006,2013,530330264001029,53033026400
1550 NW 49th St.,Seattle,Hilliard's Beer,WA,MicroBrewery,-122.377659,47.6646,98107,2013,2015,530330047002026,53033004700
1550 NW 49th St.,Ballard,Hilliard's Beer,WA,MicroBrewery,-122.377659,47.6646,98107,2012,2012,530330047002026,53033004700
4730 University Village Place NE ,Seattle,Ram Restaurant & Brewery,WA,BrewPub,-122.2993755,47.6618612,98105,2005,2005,530330043011014,53033004301
4730 University Village Plaza NE,Seattle,Ram Restaurant & Brewery,WA,BrewPub,-122.29978323,47.6634147757,98105,2006,2008,530330043011012,53033004301
2650 University Village,Seattle,Ram Restaurant & Brewery,WA,BrewHouse,-122.299387,47.663431,98105,2009,2015,530330043011012,53033004301
2106 North 55th Street ,Seattle,Elysian TangleTown Brewery ,WA,BrewPub,-122.3335032,47.6688073,98103,2005,2005,530330046002008,53033004600
3601 Fremont Ave. N. ,Seattle,Dad Watsons ,WA,BrewPub,-122.349824347,47.6514759118,98103,2006,2011,530330049002011,53033004900
3601 Fremont Avenue North ,Seattle,Dad Watsons ,WA,BrewPub,-122.350157,47.651635,98103,2005,2005,530330049003012,53033004900
2106 N. 55th St. ,Seattle,Elysian TangleTown Brewery ,WA,BrewPub,-122.333581671,47.6687650825,98103,2006,2015,530330046002008,53033004600
"600 Pine St., 4th Floor",Seattle,Gordon Biersch Brewery Restaurant ,WA,BrewPub,-122.33528516,47.6124499971,98101,2006,2015,530330082001002,53033008200
1415 1st Ave. ,Seattle,Pike Pub & Brewery ,WA,BrewPub,-122.339247378,47.6080905699,98101,2006,2015,530330081003003,53033008100
"600 Pine Street, 4th Floor",Seattle,Gordon Biersch Brewery Restaurant ,WA,BrewPub,-122.3354092,47.6125141,98101,2005,2005,530330082001002,53033008200
1415 1st Avenue ,Seattle,Pike Pub & Brewery ,WA,BrewPub,-122.3397797,47.6082134,98101,2005,2005,530330081003004,53033008100
