address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
884 Mizzen Lane,Ketchikan,2813,Bear Rock Brewing Co.,AK,MicroBrewery,-131.817591,55.472368,99901,2011,2013,021300001004012,02130000100
Mile 2 Klondike Hwy,Skagway,5506,Gold Rush Brewery,AK,Brewery,-135.2986193,59.472897,99840,2015,2015,022300001001054,02230000100
7th & Broadway,Skagway,1908,Skagway Brewing Co.,AK,BrewPub,-135.307273,59.459514,99840,2008,2015,022300001001055,02230000100
215 Smith St.,Sitka,2831,Baranof Island Brewing Co.,AK,MicroBrewery,-135.307776,57.050343,99835,2013,2015,022200001004001,02220000100
212 Smith St.,Sitka,2831,Baranof Island Brewing Co.,AK,MicroBrewery,-135.3079453,57.0498254,99835,2011,2012,022200001004003,02220000100
108 White Fang Way,Haines,586,Haines Brewing Co.,AK,MicroBrewery,-135.47152384,59.2330687725,99827,2006,2015,021000001003015,02100000100
108 White Fang Way Dalton City,Haines,,Haines Brewing Co.,AK,MicroBrewery,-136.070496,59.3680312,99827,2005,2005,021000001001116,02100000100
5429 Shaune Dr.,Juneau,,Alaskan Brewing Co.,AK,MicroBrewery,-134.4893459,58.3570171,99801,2005,2015,021100004003005,02110000400
Mile 248.4 Parks Hwy,Healy,3649,49th State Brewing Co.,AK,BrewPub,-149.018355,63.863551,99743,2013,2015,020680001002140,02068000100
2195 Old Steese Hwy.,Fox,,Silver Gulch Brewing & Bottling Co.,AK,MicroBrewery,-147.5436412,64.9779753,99712,2005,2015,020900019003134,02090001900
5690 Supply Rd.,Fairbanks,,Raven Ridge Brewing Co.,AK,MicroBrewery,-147.8889075,64.8116436,99708,2005,2005,020900010001060,02090001000
1951 Fox Ave.,Fairbanks,3781,HooDoo Brewing Co.,AK,MicroBrewery,-147.759748,64.848684,99701,2013,2015,020900005002044,02090000500
241 N. Aspen Dr.,Soldotna,1547,Kenai River Brewing Co.,AK,MicroBrewery,-151.0694,60.4935,99699,2007,2015,021220005003062,02122000500
37083 Talkeetna Spur Rd. (Mile 2),Talkeetna,5842,Denali Brewing,AK,Brewery,-150.0306218,62.1565092,99676,2015,2015,021700001022227,02170000102
13605 E. Main St.,Talkeetna,2383,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.114123,62.323379,99676,2011,2015,021700001021027,02170000102
13605 Main St.,Talkeetna,2383,Denali Brewing @ Twister Creek Restaurant,AK,BrewPub,-150.113977,62.323298,99676,2009,2010,021700001021027,02170000102
434 Sharkathmi Ave.,Soldotna,1936,St. Elias Brewing Co.,AK,BrewPub,-151.044725,60.492049,99669,2009,2015,021220005003053,02122000500
131 4th Ave.,Seward,111,Seward Brewing Co.,AK,BrewPub,-149.44047,60.100671,99664,2013,2015,021220013002078,02122001300
238 N. Boundary St.,Wasilla,,Great Bear Brewing Co.,AK,BrewPub,-149.4393728,61.5814332,99654,2005,2015,021700008003042,02170000800
650 E. Steel Loop,Palmer,2534,Arkose Brewery,AK,MicroBrewery,-149.10821,61.581915,99645,2013,2015,021700012012056,02170001201
117 Lower Mill Bay Rd.,Kodiak,697,Kodiak Island Brewing Co.,AK,MicroBrewery,-152.406738,57.789433,99615,2013,2015,021500004001011,02150000400
338 Shelikof Ave.,Kodiak,,Kodiak Island Brewing Co.,AK,MicroBrewery,-152.4145614,57.7872814,99615,2005,2012,021500003001013,02150000300
47160 Spruce Haven St.,Kenai,1546,Kassik's Kenai Brew Stop,AK,MicroBrewery,-151.311,60.6638,99611,2007,2015,021220002003026,02122000200
1562 Homer Spit Rd.,Homer,,Homer Brewing Co.,AK,MicroBrewery,-151.499675,59.640245,99603,2005,2007,021220010002005,02122001000
1411 Lake Shore Dr.,Homer,565,Homer Brewing Co.,AK,MicroBrewery,-151.50625,59.639388,99603,2008,2015,021220010002011,02122001000
