address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
5798 S. Rapp St. ,Littleton,3.0,5280 Roadhouse & Brewery ,CO,BrewPub,-105.019566424,39.6121331542,80120,2006,2015,080050065011036,08005006501
5798 S. Rapp Street ,Littleton,,5280 Roadhouse & Brewery ,CO,BrewPub,-105.0195986,39.6119764,80120,2005,2005,080050065011036,08005006501
4765 NE Fremont ,Portland,,Alameda Brewhouse,OR,BrewPub,-122.613645,45.5484823,97213,2005,2011,410510075002012,41051007500
4765 NE Fremont St.,Portland,12.0,Alameda Brewhouse,OR,BrewPub,-122.613794339,45.5484734835,97213,2012,2015,410510075002012,41051007500
20 City Blvd. West,Orange  ,,Alcatraz Brewing Company ,CA,BrewPub,-117.8922272,33.7828653,92868,2005,2005,060590761024003,06059076102
2351 Alpine Blvd,Alpine,,Alpine Beer Co.,CA,MicroBrewery,-116.7628953,32.8352225,91901,2005,2015,060730212053016,06073021205
2363 Alpine Blvd.,Alpine,20.0,Alpine Beer Co.,CA,BrewPub,-116.7651405,32.8354684,91901,2011,2013,060730212053016,06073021205
320 Commercial Ave.,Anacortes,31.0,Anacortes Brewery & Rockfish Grill,WA,BrewPub,-122.61270428,48.5197104035,98221,2006,2015,530579406001022,53057940600
320 Commercial Avenue,Anacortes,,Anacortes Brewery & Rockfish Grill,WA,BrewPub,-122.61286,48.5193742,98221,2005,2005,530579406001022,53057940600
1705 Mariposa Street ,San Francisco,,Anchor Brewing Company ,CA,MicroBrewery,-122.4007543,37.7634514,94107,2005,2005,060750227041012,06075022704
114 E. Washington St.,Ann Arbor,42.0,Arbor Brewing Co.,MI,BrewPub,-83.7483394146,42.2804165185,48104,2006,2015,261614001001018,26161400100
114 E. Washington,Ann Arbor,,Arbor Brewing Co.,MI,BrewPub,-83.747817,42.28025,48104,2005,2005,261614001001018,26161400100
675 Merrimon Avenue,Asheville,,Asheville Pizza & Brewing Co.,NC,BrewPub,-82.553603,35.622131,28804,2005,2005,370210005003021,37021000500
675 Merrimon Ave.,Asheville,45.0,Asheville Pizza & Brewing Co.,NC,BrewPub,-82.5544024258,35.6220271098,28804,2006,2015,370210005003021,37021000500
1219 Williams Street ,Atlanta,,Atlanta Brewing Company ,GA,MicroBrewery,-84.390109,33.787922,30309,2005,2005,131210005001083,13121000500
