address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
35 Crossroad,Waterbury,16.0,Alchemist Brewery,VT,MicroBrewery,-72.743326,44.350617,05753,2013,2013,500239543002092,50023954300
20 City Blvd. W.,Orange  ,16.0,Alcatraz Brewing Company ,CA,BrewPub,-117.89281732,33.7807446151,92868,2006,2013,060590761024003,06059076102
50 Industrial Way,Portland,19.0,Allagash Brewing Co.,ME,MicroBrewery,-70.31822,43.702764,04103,2013,2015,230050021022013,23005002102
2531 N. 12th St. ,Grand Junction,19.0,Ale House Brewery & Pub,CO,BrewPub,-108.552601287,39.0909064592,81501,2006,2015,080770005001000,08077000500
2521 Atlantic Highway,Lincolnville,32.0,Andrew's Brewpub @ Lobster Pound,ME,BrewPub,-69.007956,44.283085,04849,2015,2015,230270440004059,23027044000
1705 Mariposa St. ,San Francisco,32.0,Anchor Brewing Company ,CA,MicroBrewery,-122.400513907,37.7635721126,94107,2006,2015,060750227041012,06075022704
4975 High St.,Lincolnville,32.0,Andrew's Brewing Co.,ME,MicroBrewery,-69.158749,44.28351,04849,2009,2014,230139703001003,23013970300
3721 Market St.,Camp Hill,35.0,Appalachian Brewing Co.,PA,BrewPub,-76.9457,40.2389,17011,2007,2015,420410113042030,42041011304
833 W. Torrance Blvd. ,Torrance,35.0,Angel City Brewing Co.,CA,MicroBrewery,-118.288841045,33.8421570365,90502,2006,2010,060375435021017,06037543502
720 Main St.,Frisco,49.0,Backcountry Brewery,CO,BrewPub,-106.0940619,39.576458,80443,2012,2015,081170003004008,08117000300
322 Moody St.,Waltham,49.0,Atlantic Coast Brewing/Tremont Ale,MA,MicroBrewery,-71.236864392,42.3706535725,2453,2006,2006,250173685001006,25017368500
71-800 Highway 111,Rancho Mirage,55.0,Babe's BBQ Grill & Brewhouse,CA,BrewPub,-116.411723248,33.7408194531,92270,2006,2015,060650451034012,06065045103
8 Mount Desert St.,Bar Harbor,55.0,Bar Harbor Brewing Co.,ME,MicroBrewery,-68.204816,44.387343,04609,2009,2015,230099659002003,23009965900
1918 West End Ave. ,Nashville,143.0,Blackstone Restaurant & Brewery ,TN,BrewPub,-86.79785951,36.1521969658,37203,2009,2015,470370195002104,47037019500
925 Blossom Hill Rd. ,San Jose,143.0,BJ's Restaurant and Brewery,CA,BrewPub,-121.861326244,37.2502811886,95123,2006,2015,060855120522007,06085512052
10840 W. Charleston,Las Vegas,147.0,BJ's Restaurant and Brewery,NV,BrewPub,-115.332118982,36.1589329356,89135,2006,2007,320030058431009,32003005843
3321 Dill Smith Dr.,Fredericksburg,147.0,Blue & Gray Brewing Co.,VA,MicroBrewery,-77.4475968431,38.2807185376,22408,2009,2009,511770202011015,51177020201
3300 Dill Smith Dr.,Fredericksburg,147.0,Blue & Gray Brewing Co.,VA,MicroBrewery,-77.446589,38.280399,22408,2010,2015,511770202011018,51177020201
"660 S. 4th St., Theatre Sq.",Louisville,156.0,Bluegrass Brewing Co.,KY,BrewHouse,-85.7506,38.2541,40202,2008,2015,211110049001083,21111004900
636 E. Main St.,Louisville,156.0,Bluegrass Brewing Co.,KY,MicroBrewery,-85.741058,38.25485,40207,2008,2015,211110059001035,21111005900
94 E. Fort Union Blvd. (7200 South),Midvale,158.0,Bohemian Brewery & Grill ,UT,BrewPub,-111.887610642,40.6201129147,84047,2010,2015,490351125032002,49035112503
380 Coal St.,Wilkes-Barre,158.0,Black Rock Brewing Co.,PA,BrewPub,-75.8658550324,41.2376227688,18702,2006,2006,420792010002004,42079201000
417 SW 37th St.,Topeka,164.0,Blind Tiger,KS,BrewPub,-95.6842426365,39.0005629337,66605,2006,2015,201770029003010,20177002900
495 Upper Cornelia St.,Plattsburgh,164.0,Bootlegger's Pub & Brewery,NY,BrewPub,-73.45327,44.69952,12901,2007,2007,360191009004015,36019100900
678 Roosevelt Trail,Naples,178.0,Bray's Brewpub & Eatery,ME,BrewPub,-70.600359,43.970659,04064,2013,2014,230050140002046,23005014000
2100 S. Casino Dr.,Laughlin,178.0,Boiler Room Brewpub,NV,BrewPub,-114.574703337,35.1587356788,89029,2006,2015,320030057022001,32003005702
